,sum_tx_ether,avg_tx_gas_cost,tx_date
876,1881283.7134195382,0.0016246237051200459,2020-05-26
877,1518783.7697428293,0.002089225885505013,2020-05-27
878,2100374.6349044745,0.001746619706233099,2020-05-28
879,2584676.7947817007,0.0014840465563136966,2020-05-29
880,2433386.301196121,0.0014444339619037545,2020-05-30
881,2169779.7352891224,0.001214886995333551,2020-05-31
882,2089672.8740737173,0.0013636446723271278,2020-06-01
883,3730634.482776035,0.0014417150341148417,2020-06-02
884,1507534.1985830658,0.0013081785545931515,2020-06-03
885,1576949.6150710098,0.0013539329905196528,2020-06-04
886,1887890.7125566797,0.0013608001222204893,2020-06-05
887,905534.9119372243,0.0015016261674082058,2020-06-06
888,1130968.220523591,0.001592625657769481,2020-06-07
889,1564253.7211954356,0.0016073032993066912,2020-06-08
890,1639105.85992124,0.0016617489519349363,2020-06-09
891,1852995.9475219431,0.03173218983490283,2020-06-10
892,2365454.45852687,0.036752656717254126,2020-06-11
893,1625061.0370008443,0.001699637958918746,2020-06-12
894,839294.4716325745,0.0013225809183907153,2020-06-13
895,1005181.6110895895,0.00119923983224722,2020-06-14
896,2614433.795731373,0.0018935926846235832,2020-06-15
897,1633196.452784489,0.0019762274464590886,2020-06-16
898,1621610.260053547,0.002084281785450096,2020-06-17
899,1827052.2461538664,0.0018404981780333258,2020-06-18
900,1937963.6678763025,0.0019303276202236274,2020-06-19
901,1039775.607509711,0.001528903775704793,2020-06-20
902,1509529.1187373577,0.0015374832095466314,2020-06-21
903,2497769.8996092426,0.001962501321644816,2020-06-22
904,2374216.4494502214,0.002198465632986599,2020-06-23
905,4172692.5846951082,0.002408341609059854,2020-06-24
906,5630969.251349793,0.0022854246929021943,2020-06-25
907,2795839.6851198114,0.0020597001960188,2020-06-26
908,1816128.345402197,0.002041857718831359,2020-06-27
909,1341409.3426526913,0.0019543924723785127,2020-06-28
910,1555099.936869134,0.0020052933807283243,2020-06-29
911,1989193.518145345,0.0024975434574896686,2020-06-30
912,1826827.8347328338,0.002615353914398588,2020-07-01
913,1804609.4970445975,0.0022945884976183764,2020-07-02
914,1796690.334378168,0.002408206737455961,2020-07-03
915,1193300.9791779874,0.0018855317277265595,2020-07-04
916,1011067.5093816749,0.0018259457680613106,2020-07-05
917,2241020.1449384345,0.0021364587604467762,2020-07-06
918,2263533.4387862566,0.0021809866787283775,2020-07-07
919,3159049.2480952586,0.0026406493495527124,2020-07-08
920,2418137.163661482,0.002555892041049555,2020-07-09
921,2448522.575904943,0.0020490341377646915,2020-07-10
922,1092715.2305671931,0.001813675033063865,2020-07-11
923,1229383.4073343272,0.0016931084316804841,2020-07-12
924,2492486.780290385,0.002486569667881853,2020-07-13
925,3177589.635258863,0.0022697062145092856,2020-07-14
926,1870309.255481226,0.0029779981193414403,2020-07-15
927,2191332.631894238,0.0033677979802426016,2020-07-16
928,1873579.1402503622,0.0033102542822021565,2020-07-17
929,1328639.5056406555,0.002896375392694149,2020-07-18
930,1614195.1391722544,0.0029404564499790754,2020-07-19
931,2214637.0954539194,0.00340801135603143,2020-07-20
932,2334555.7075714767,0.003775530398990294,2020-07-21
933,2913939.2364483494,0.0036569534268948837,2020-07-22
934,5089242.750561527,0.003935342375422578,2020-07-23
935,3042305.537675842,0.004036904497161347,2020-07-24
936,2829573.224311944,0.004209683289129297,2020-07-25
937,3340972.0787232723,0.003779093784335188,2020-07-26
938,4857647.488023381,0.004307707311077382,2020-07-27
939,3235841.926012092,0.0034741413782612197,2020-07-28
940,3029478.4584884522,0.004124114709757488,2020-07-29
941,3181053.4876001994,0.0037134811392362647,2020-07-30
942,3334772.067825588,0.003985956291534088,2020-07-31
943,3045970.2125905748,0.003155925265217038,2020-08-01
944,3274652.8855945687,0.003586967253508529,2020-08-02
945,3206680.052404768,0.0031983186161730305,2020-08-03
946,3347868.4203648493,0.002867391994081718,2020-08-04
947,2415653.829745762,0.002642744656033329,2020-08-05
948,2442973.6727747014,0.002855436146097974,2020-08-06
949,2835660.439710079,0.003515132765727887,2020-08-07
950,1610743.7914856737,0.0035105577044330545,2020-08-08
951,1838823.5249684209,0.004039567625206829,2020-08-09
952,3222797.982649694,0.005665472730364581,2020-08-10
953,3016989.1927907052,0.006303208415381959,2020-08-11
954,4124717.4474591063,0.009699873159242351,2020-08-12
955,3882782.7167504127,0.01069260724677646,2020-08-13
956,4484779.941377965,0.008760009750271127,2020-08-14
957,2179891.737749958,0.005847347700202477,2020-08-15
958,2056392.0113178478,0.005292091664405701,2020-08-16
959,2926318.6207059976,0.005393184294032582,2020-08-17
960,2884588.85054348,0.006303052813714854,2020-08-18
961,2947039.233795147,0.006251843236987103,2020-08-19
962,2980222.034485676,0.005693424316488387,2020-08-20
963,3075141.9717441867,0.00710493613825739,2020-08-21
964,2139387.7215872807,0.005359668845246827,2020-08-22
965,1482161.6172729002,0.00434566546647065,2020-08-23
966,2829945.8073210004,0.005104358991642562,2020-08-24
967,2760317.8650601837,0.00514382930059978,2020-08-25
968,2796353.622133448,0.004459765515110449,2020-08-26
969,2275952.067446471,0.004671895965013071,2020-08-27
970,3391488.954204401,0.004600999630032523,2020-08-28
971,2674728.288525763,0.005171868155521491,2020-08-29
972,3361194.6070626294,0.010499095767687584,2020-08-30
973,5340755.785810379,0.011160087806517557,2020-08-31
974,6617859.605030762,0.019170529847077466,2020-09-01
975,6399304.956076132,0.02069843053407086,2020-09-02
976,6251646.636931131,0.016775327936734672,2020-09-03
977,6376172.069790176,0.010003113067869213,2020-09-04
978,6203865.440009333,0.011926509087975708,2020-09-05
979,5060523.07804797,0.006466920069807939,2020-09-06
980,4124906.6286529615,0.005412038595608327,2020-09-07
981,3835324.2673073253,0.004948571480612454,2020-09-08
982,4246685.718063192,0.005718353393743378,2020-09-09
983,5605125.126980439,0.008239099563666044,2020-09-10
984,4830492.062406015,0.007105722952536123,2020-09-11
985,4249966.6733996775,0.005198125085609393,2020-09-12
986,4212868.070569763,0.005952763735018165,2020-09-13
987,5342845.212288524,0.008836592882353275,2020-09-14
988,4302767.696643247,0.007918913593971991,2020-09-15
989,4695207.954560937,0.006668215710899999,2020-09-16
990,5800356.512780112,0.01660045967999231,2020-09-17
991,6537696.360582189,0.012399899433638497,2020-09-18
